File Name,Original UTC Time,Local Time
2025-05-11T16_18_22+00_00.jpg,2025-05-11T16:18:22,2025-05-11 10:18:22
2025-05-11T16_33_19+00_00.jpg,2025-05-11T16:33:19,2025-05-11 10:33:19
2025-05-11T16_48_19+00_00.jpg,2025-05-11T16:48:19,2025-05-11 10:48:19
2025-05-11T17_03_21+00_00.jpg,2025-05-11T17:03:21,2025-05-11 11:03:21
2025-05-11T17_18_51+00_00.jpg,2025-05-11T17:18:51,2025-05-11 11:18:51
2025-05-11T17_33_50+00_00.jpg,2025-05-11T17:33:50,2025-05-11 11:33:50
2025-05-11T17_48_54+00_00.jpg,2025-05-11T17:48:54,2025-05-11 11:48:54
2025-05-11T18_03_49+00_00.jpg,2025-05-11T18:03:49,2025-05-11 12:03:49
2025-05-11T18_18_56+00_00.jpg,2025-05-11T18:18:56,2025-05-11 12:18:56
2025-05-11T18_33_49+00_00.jpg,2025-05-11T18:33:49,2025-05-11 12:33:49
2025-05-11T18_48_56+00_00.jpg,2025-05-11T18:48:56,2025-05-11 12:48:56
2025-05-11T19_04_21+00_00.jpg,2025-05-11T19:04:21,2025-05-11 13:04:21
2025-05-11T19_19_19+00_00.jpg,2025-05-11T19:19:19,2025-05-11 13:19:19
2025-05-11T19_35_04+00_00.jpg,2025-05-11T19:35:04,2025-05-11 13:35:04
2025-05-11T19_50_27+00_00.jpg,2025-05-11T19:50:27,2025-05-11 13:50:27
2025-05-11T20_05_49+00_00.jpg,2025-05-11T20:05:49,2025-05-11 14:05:49
2025-05-11T20_20_54+00_00.jpg,2025-05-11T20:20:54,2025-05-11 14:20:54
2025-05-11T20_36_29+00_00.jpg,2025-05-11T20:36:29,2025-05-11 14:36:29
2025-05-11T20_51_50+00_00.jpg,2025-05-11T20:51:50,2025-05-11 14:51:50
2025-05-11T21_06_56+00_00.jpg,2025-05-11T21:06:56,2025-05-11 15:06:56
2025-05-11T21_21_49+00_00.jpg,2025-05-11T21:21:49,2025-05-11 15:21:49
2025-05-11T21_36_22+00_00.jpg,2025-05-11T21:36:22,2025-05-11 15:36:22
2025-05-11T21_51_50+00_00.jpg,2025-05-11T21:51:50,2025-05-11 15:51:50
2025-05-11T22_06_57+00_00.jpg,2025-05-11T22:06:57,2025-05-11 16:06:57
2025-05-11T22_21_48+00_00.jpg,2025-05-11T22:21:48,2025-05-11 16:21:48
2025-05-11T22_36_53+00_00.jpg,2025-05-11T22:36:53,2025-05-11 16:36:53
2025-05-11T22_51_49+00_00.jpg,2025-05-11T22:51:49,2025-05-11 16:51:49
2025-05-11T23_06_56+00_00.jpg,2025-05-11T23:06:56,2025-05-11 17:06:56
2025-05-11T23_22_24+00_00.jpg,2025-05-11T23:22:24,2025-05-11 17:22:24
2025-05-11T23_37_20+00_00.jpg,2025-05-11T23:37:20,2025-05-11 17:37:20
2025-05-11T23_52_20+00_00.jpg,2025-05-11T23:52:20,2025-05-11 17:52:20
